prompt_id,doc_set_label
hb_001120,partial
hb_001784,partial
hb_002051,unclear
hb_001190,unclear
hb_001260,partial
hb_000837,partial
hb_000349,partial
hb_001373,partial
hb_001729,partial
hb_001147,unclear
hb_002921,partial
hb_000179,unclear
hb_002221,partial
hb_001637,partial
hb_002597,partial
hb_002777,unclear
hb_002299,unclear
hb_002845,unclear
hb_002022,unclear
hb_001985,partial
hb_001462,partial
hb_000078,partial
hb_002184,unclear
hb_003002,unclear
hb_002838,unclear
hb_002942,unclear
hb_001743,partial
hb_002164,unclear
hb_003033,partial
hb_001129,partial
hb_001782,partial
hb_000061,unclear
hb_001195,partial
hb_002970,unclear
hb_001272,partial
hb_000409,unclear
hb_002090,partial
hb_001722,partial
hb_002920,unclear
hb_002225,partial
hb_002679,partial
hb_002295,partial
hb_001281,partial
hb_001984,partial
hb_002067,partial
hb_002446,partial
hb_001238,partial
hb_001863,unclear
hb_001900,partial
hb_001688,partial
hb_001750,unclear
hb_002498,partial
hb_001761,unclear
hb_003034,partial
hb_001854,partial
hb_001882,partial
hb_001138,partial
hb_001789,partial
hb_000128,unclear
hb_002972,unclear
hb_000514,partial
hb_000001,absent
hb_002234,unclear
hb_002669,present
hb_001636,absent
hb_002289,partial
hb_001982,partial
hb_001081,unclear
hb_002071,partial
hb_001468,partial
hb_000080,partial
hb_001643,partial
hb_001902,partial
hb_002197,unclear
hb_003004,present
hb_002835,partial
hb_002957,unclear
hb_001456,partial
hb_001770,partial
hb_001702,unclear
hb_003036,unclear
hb_001857,unclear
hb_001891,partial
hb_001792,partial
hb_000008,partial
hb_002059,unclear
hb_001181,unclear
hb_001922,partial
hb_001279,partial
hb_000477,unclear
hb_002602,unclear
hb_000367,partial
hb_001736,partial
hb_002922,partial
hb_002233,partial
hb_002811,unclear
hb_002280,present
hb_001511,unclear
hb_001994,partial
hb_001095,partial
hb_002077,partial
hb_002448,partial
hb_002902,unclear
hb_002563,unclear
hb_002161,partial
hb_003038,unclear
hb_002102,unclear
hb_001124,partial
hb_001790,unclear
hb_000005,partial
hb_001182,partial
hb_001310,unclear
hb_001923,partial
hb_001261,partial
hb_000552,unclear
hb_000164,partial
hb_002083,present
hb_001963,unclear
hb_001732,present
hb_002235,unclear
hb_002283,unclear
hb_001981,present
hb_000933,partial
hb_002072,partial
hb_001472,partial
hb_000147,partial
hb_002456,absent
hb_001865,partial
hb_001908,present
hb_001573,unclear
hb_002408,partial
hb_002185,unclear
hb_002945,partial
hb_001454,unclear
hb_001777,partial
hb_001127,partial
hb_001793,partial
hb_002044,present
hb_000436,absent
hb_000115,partial
hb_001972,partial
hb_002933,partial
hb_001257,unclear
hb_002227,unclear
hb_002436,unclear
hb_002770,partial
hb_002286,partial
hb_001508,partial
hb_000042,partial
hb_001551,unclear
hb_001297,unclear
hb_001998,partial
hb_000958,partial
hb_002069,partial
hb_000093,unclear
hb_001645,present
hb_001903,partial
hb_002832,partial
hb_001740,partial
hb_001450,unclear
hb_002486,unclear
hb_001778,partial
hb_001846,partial
hb_001128,partial
hb_000022,partial
hb_001199,partial
hb_001173,partial
hb_001527,unclear
hb_002549,unclear
hb_001939,partial
hb_000778,partial
hb_000085,partial
hb_001665,unclear
hb_001739,partial
hb_002223,present
hb_002800,partial
hb_001826,partial
hb_002591,partial
hb_002282,partial
hb_002309,partial
hb_001983,present
hb_001114,partial
hb_002060,partial
hb_000098,absent
hb_001642,unclear
hb_001913,unclear
hb_002162,absent
hb_003037,partial
hb_002755,unclear
hb_001795,partial
hb_000134,partial
hb_001170,unclear
hb_001929,unclear
hb_000551,absent
hb_002607,unclear
hb_000072,partial
hb_002082,partial
hb_001728,present
hb_000178,absent
hb_002238,partial
hb_001639,partial
hb_001509,unclear
hb_001291,unclear
hb_001980,partial
hb_001064,partial
hb_002074,partial
hb_000158,unclear
hb_001236,partial
hb_001579,unclear
hb_002955,unclear
hb_001202,unclear
hb_003039,unclear
hb_002114,partial
hb_002466,unclear
hb_001791,absent
hb_000028,partial
hb_002040,partial
hb_001928,unclear
hb_000840,partial
hb_001602,partial
hb_000372,partial
hb_001731,partial
hb_001246,unclear
hb_000141,absent
hb_002371,partial
hb_002672,unclear
hb_001620,unclear
hb_002291,unclear
hb_002021,partial
hb_001556,partial
hb_001282,partial
hb_000997,partial
hb_002079,partial
hb_001467,partial
hb_000113,unclear
hb_002192,unclear
hb_002940,unclear
hb_002178,unclear
hb_001853,unclear
hb_001131,absent
hb_001796,partial
hb_000009,partial
hb_001161,partial
hb_002540,partial
hb_002961,unclear
hb_001264,unclear
hb_000055,absent
hb_001720,partial
hb_000135,absent
hb_002222,partial
hb_002667,unclear
hb_001634,partial
hb_002285,partial
hb_000153,partial
hb_003060,unclear
hb_001992,partial
hb_002452,unclear
hb_001909,partial
hb_001564,absent
hb_002404,partial
hb_002190,unclear
hb_002171,unclear
hb_001446,unclear
hb_002494,unclear
hb_001788,unclear
hb_000160,partial
hb_002692,unclear
hb_002966,unclear
hb_000353,partial
hb_001734,unclear
hb_002939,unclear
hb_002232,absent
hb_002665,partial
hb_002294,partial
hb_001505,unclear
hb_002032,unclear
hb_001999,unclear
hb_002867,unclear
hb_000094,partial
hb_001861,partial
hb_001654,unclear
hb_003054,absent
hb_003010,unclear
hb_002834,unclear
hb_001687,partial
hb_001940,partial
hb_001748,unclear
hb_002165,partial
hb_001897,partial
hb_001137,partial
hb_001781,partial
hb_000307,partial
