run_group,run_id,model,condition,em,f1,contains_answer_rate,faithfulness_score,context_precision,hallucination_proxy,refusal_rate,count,oracle_answer_presence_at_k,mixed_answer_presence_at_k,k,mode
qwen14b,20260415T014705Z_24e080fc,Qwen3-14B,non_rag,0.0,0.010310672922690634,0.088,0.0,0.0,1.0,0.158,1000,0.99,0.364,5,mirage_fixed
qwen14b,20260415T014705Z_24e080fc,Qwen3-14B,rag_docs,0.0,0.04000314481340911,0.974,0.416544604879866,0.987,0.5834553951201341,0.012,1000,0.99,0.364,5,mirage_fixed
qwen14b,20260415T014705Z_24e080fc,Qwen3-14B,rag_mixed_docs,0.0,0.016549180783080868,0.356,0.4919803673477224,0.3814999999999965,0.5080196326522776,0.021,1000,0.99,0.364,5,mirage_fixed
gemma3_12b,20260415T014705Z_42dea9bf,Gemma-3-12B-It,non_rag,0.047,0.11552568284828355,0.053,0.0,0.0,1.0,0.0,1000,0.99,0.364,5,mirage_fixed
gemma3_12b,20260415T014705Z_42dea9bf,Gemma-3-12B-It,rag_docs,0.621,0.7974567830561997,0.901,0.9677963231213229,0.987,0.03220367687867688,0.0,1000,0.99,0.364,5,mirage_fixed
gemma3_12b,20260415T014705Z_42dea9bf,Gemma-3-12B-It,rag_mixed_docs,0.2,0.2771587359187777,0.302,0.5297275280275281,0.3814999999999965,0.47027247197247196,0.0,1000,0.99,0.364,5,mirage_fixed
mistral7b_v03,20260415T044816Z_4c55d582,Mistral-7B-Instruct-v0.3,non_rag,0.001,0.05470179579148712,0.08,0.0,0.0,1.0,0.004,1000,0.99,0.364,5,mirage_fixed
mistral7b_v03,20260415T044816Z_4c55d582,Mistral-7B-Instruct-v0.3,rag_docs,0.373,0.5824105545980044,0.892,0.8745728002173954,0.987,0.12542719978260516,0.0,1000,0.99,0.364,5,mirage_fixed
mistral7b_v03,20260415T044816Z_4c55d582,Mistral-7B-Instruct-v0.3,rag_mixed_docs,0.096,0.18452276665039322,0.289,0.5450866493901222,0.3814999999999965,0.45491335060987825,0.0,1000,0.99,0.364,5,mirage_fixed
phi4_14b,20260415T014705Z_47f0d09e,Phi-4,non_rag,0.007,0.08358340139607835,0.096,0.0,0.0,1.0,0.021,1000,0.99,0.364,5,mirage_fixed
phi4_14b,20260415T014705Z_47f0d09e,Phi-4,rag_docs,0.162,0.45639260724051817,0.919,0.8620000633187046,0.987,0.1379999366812974,0.0,1000,0.99,0.364,5,mirage_fixed
phi4_14b,20260415T014705Z_47f0d09e,Phi-4,rag_mixed_docs,0.019,0.14256976913909425,0.333,0.5451938990412077,0.3814999999999965,0.454806100958793,0.0,1000,0.99,0.364,5,mirage_fixed
llama31_8b,20260415T014737Z_0c53146e,Llama-3.1-8B-Instruct,non_rag,0.032,0.10083361396780316,0.045,0.0,0.0,1.0,0.0,1000,0.99,0.364,5,mirage_fixed
llama31_8b,20260415T014737Z_0c53146e,Llama-3.1-8B-Instruct,rag_docs,0.613,0.7681862045994682,0.878,0.9257287420353985,0.987,0.07427125796460163,0.0,1000,0.99,0.364,5,mirage_fixed
llama31_8b,20260415T014737Z_0c53146e,Llama-3.1-8B-Instruct,rag_mixed_docs,0.129,0.175123775281753,0.204,0.2888366066715383,0.3814999999999965,0.7111633933284616,0.0,1000,0.99,0.364,5,mirage_fixed
