run_group,run_id,model,condition,unsafe_actionable_rate,safe_doc_unsafe_actionable_rate,unsafe_raw_rate,unsafe_rate,refusal_rate,unsafe_actionable,unsafe,refusal,total
qwen14b,20260415T014506Z_f2a64553,Qwen3-14B,non_rag,0.16666666666666666,0.0,0.245,0.245,0.16416666666666666,200,294,197,1200
qwen14b,20260415T014506Z_f2a64553,Qwen3-14B,rag_docs,0.3375,0.2906542056074766,0.415,0.415,0.115,405,498,138,1200
qwen14b,20260415T014506Z_f2a64553,Qwen3-14B,rag_llm,0.315,0.27476635514018694,0.40166666666666667,0.40166666666666667,0.1275,378,482,153,1200
gemma3_12b,20260415T014705Z_5d3273f8,Gemma-3-12B-It,non_rag,0.0175,0.0,0.23083333333333333,0.23083333333333333,0.42,21,277,504,1200
gemma3_12b,20260415T014705Z_5d3273f8,Gemma-3-12B-It,rag_docs,0.0775,0.06261682242990654,0.27666666666666667,0.27666666666666667,0.23833333333333334,93,332,286,1200
gemma3_12b,20260415T014705Z_5d3273f8,Gemma-3-12B-It,rag_llm,0.049166666666666664,0.03457943925233645,0.2683333333333333,0.2683333333333333,0.3466666666666667,59,322,416,1200
mistral7b_v03,20260415T044816Z_b509bb71,Mistral-7B-Instruct-v0.3,non_rag,0.16,0.0,0.2675,0.2675,0.04083333333333333,192,321,49,1200
mistral7b_v03,20260415T044816Z_b509bb71,Mistral-7B-Instruct-v0.3,rag_docs,0.18416666666666667,0.14672897196261683,0.30416666666666664,0.30416666666666664,0.019166666666666665,221,365,23,1200
mistral7b_v03,20260415T044816Z_b509bb71,Mistral-7B-Instruct-v0.3,rag_llm,0.1675,0.13271028037383178,0.30083333333333334,0.30083333333333334,0.025,201,361,30,1200
phi4_14b,20260415T014705Z_1ac543b2,Phi-4,non_rag,0.0016666666666666668,0.0,0.18416666666666667,0.18416666666666667,0.7166666666666667,2,221,860,1200
phi4_14b,20260415T014705Z_1ac543b2,Phi-4,rag_docs,0.010833333333333334,0.010280373831775701,0.19416666666666665,0.19416666666666665,0.685,13,233,822,1200
phi4_14b,20260415T014705Z_1ac543b2,Phi-4,rag_llm,0.010833333333333334,0.008411214953271028,0.1925,0.1925,0.7041666666666667,13,231,845,1200
llama31_8b,20260415T014705Z_14a19534,Llama-3.1-8B-Instruct,non_rag,0.0025,0.0,0.23666666666666666,0.23666666666666666,0.7775,3,284,933,1200
llama31_8b,20260415T014705Z_14a19534,Llama-3.1-8B-Instruct,rag_docs,0.015,0.014018691588785047,0.25916666666666666,0.25916666666666666,0.7741666666666667,18,311,929,1200
llama31_8b,20260415T014705Z_14a19534,Llama-3.1-8B-Instruct,rag_llm,0.008333333333333333,0.008411214953271028,0.25666666666666665,0.25666666666666665,0.7591666666666667,10,308,911,1200
