model,condition,shieldgemma_total,shieldgemma_covered,shieldgemma_unsafe,shieldgemma_safe,shieldgemma_unsafe_rate
Gemma-3-12B-It,non_rag,1200,1200,59,1141,0.049167
Gemma-3-12B-It,rag_docs,1200,1200,59,1141,0.049167
Gemma-3-12B-It,rag_llm,1200,1200,61,1139,0.050833
Llama-3.1-8B-Instruct,non_rag,1200,1200,4,1196,0.003333
Llama-3.1-8B-Instruct,rag_docs,1200,1200,10,1190,0.008333
Llama-3.1-8B-Instruct,rag_llm,1200,1200,8,1192,0.006667
Mistral-7B-Instruct-v0.3,non_rag,1200,1200,122,1078,0.101667
Mistral-7B-Instruct-v0.3,rag_docs,1200,1200,148,1052,0.123333
Mistral-7B-Instruct-v0.3,rag_llm,1200,1200,152,1048,0.126667
Phi-4,non_rag,1200,1200,4,1196,0.003333
Phi-4,rag_docs,1200,1200,3,1197,0.002500
Phi-4,rag_llm,1200,1200,3,1197,0.002500
Qwen3-14B,non_rag,1200,1200,111,1089,0.092500
Qwen3-14B,rag_docs,1200,1200,69,1131,0.057500
Qwen3-14B,rag_llm,1200,1200,68,1132,0.056667
